locality,postcode
Esslingen am Neckar,73734
Eßweiler,67754
Estenfeld,97230
Esterwegen,26897
Esthal,67466
Esthal,67468
Esthal,67472
Estorf,21727
Estorf,31629
Etgert,54424
Etschberg,66871
Ettal,82488
Etteldorf,54655
Ettenheim,77955
Ettenstatt,91796
Ettersburg,99439
Ettinghausen,56244
Ettlingen,76275
Ettringen,56729
Ettringen,86833
Etzbach,57539
Etzelwang,92268
Etzenricht,92694
Etzleben,06577
Euerbach,97502
Euerdorf,97717
Eulenberg,57632
Eulenbis,67685
Eulgem,56761
Eurasburg,86495
Eurasburg,82547
Euscheid,54597
Euskirchen,53879
Euskirchen,53881
Eußenheim,97776
Eußerthal,76857
Eutin,23701
Eutingen im Gäu,72184
Eversmeer,26556
Everswinkel,48351
Evessen,38173
Ewighausen,56244
Extertal,32699
Eydelstedt,49406
Eyendorf,21376
Eystrup,27324
Fachbach,56133
Fahrdorf,24857
Fahren,24253
Fahrenbach,74864
Fahrenkrug,23795
Fahrenwalde,17309
Fahrenzhausen,85777
Faid,56814
Falkenberg,84326
Falkenberg,95685
Falkenberg,16259
Falkenberg/Elster,04895
Falkenfels,94350
Falkenhagen (Mark),15306
Falkensee,14612
Falkenstein,93167
Falkenstein,67808
Falkenstein/Harz,06333
Falkenstein/Harz,06463
Falkenstein/Harz,06543
Falkenstein/Vogtland,08223
Falkenstein/Vogtland,08239
Fambach,98597
Farchant,82490
Fargau-Pratjau,24256
Farnstädt,06279
Farschweiler,54317
Farven,27446
Faßberg,29328
Faulbach,97906
Faulenrost,17139
Fedderingen,25779
Fehl-Ritzhausen,56472
Fehmarn,23769
Fehrbellin,16818
Fehrbellin,16833
Fehrbellin,16845
Feichten an der Alz,84550
Feilbingert,67824
Feilitzsch,95183
Feilsdorf,54636
Feldafing,82340
Feldatal,36325
Feldberg,79868
Feldberger Seenlandschaft,17258
Felde,24242
Feldhorst,23858
Feldkirchen,94351
Feldkirchen,85622
Feldkirchen-Westerham,83620
Felixsee,03130
Fell,54341
Fellbach,70734
Fellbach,70736
Fellen,97778
Fellheim,87748
Felm,24161
Felm,24214
Felm,24244
Felsberg,34587
Fensdorf,57580
Fensterbach,92269
Ferdinandshof,17379
Ferna,37339
Fernwald,35463
Ferschweiler,54668
Feucht,90537
Feuchtwangen,91555
Feuerscheid,54597
Feusdorf,54584
Fichtelberg,95686
Fichtenau,74579
Fichtenberg,74427
Fichtenhöhe,15306
Fichtwald,04936
Fiefbergen,24217
Fiersbach,57635
Filderstadt,70794
Filderstadt,71111
Filsen,56341
Filsum,26849
Filz,56766
Fincken,17209
Finkenbach-Gersweiler,67822
Finkenthal,17179
Finne,06647
Finneland,06647
Finnentrop,57413
Finning,86923
Finningen,89435
Finsing,85464
Finsterwalde,03238
Fintel,27389
Firrel,26835
Fisch,54439
Fischach,86850
Fischbach,55743
Fischbach,67693
Fischbachau,83730
Fischbach bei Dahn,66996
Fischbach-Oberraden,54675
Fischbachtal,64405
Fischen im Allgäu,87538
Fischerbach,77716
Fischingen,79592
Fitzbek,25579
Fitzen,21514
Flachslanden,91604
Flacht,65558
Fladungen,97650
Flammersfeld,57632
Flechtingen,39345
Flechtingen,39356
Flechtingen,39359
Fleckeby,24357
Flein,74223
Fleischwangen,88373
Flemlingen,76835
Flensburg,24937
Flensburg,24939
Flensburg,24941
Flensburg,24943
Flensburg,24944
Fleringen,54597
Flieden,36103
Fließem,54636
Flieth-Stegelitz,17268
Flintbek,24220
Flintsbach am Inn,83126
Flöha,09557
Floh-Seligenthal,98593
Flomborn,55234
Flonheim,55237
Flörsbachtal,63639
Flörsheim,65439
Flörsheim-Dalsheim,67592
Florstadt,61197
Floß,92685
Flossenbürg,92696
Flöthe,38312
Fluorn-Winzeln,78737
Flußbach,54516
Fluterschen,57614
Fockbek,24787
Föckelberg,66887
Fockendorf,04617
Föhrden-Barl,25563
Föhren,54343
Fohren-Linden,55777
Forbach,76596
Forchheim,91301
Forchheim,79362
Forchtenberg,74670
Forheim,86735
Föritztal,96524
Forst,57537
Forst,76694
Forst an der Weinstraße,67147
Forst (Eifel),56754
Forstern,85659
Forst (Hunsrück),56858
Forstinning,85661
Forst (Lausitz) - Baršć,03149
Forstmehren,57635
Framersheim,55234
Frammersbach,97833
Frankelbach,67737
Frankenau,35110
Frankenberg,35066
Frankenberg/Sachsen,09669
Frankenblick,96528
Frankendorf,99441
Frankeneck,67468
Frankenfeld,27336
Frankenhardt,74586
Frankenheim/Rhön,98634
Frankenroda,99826
Frankenstein,67468
Frankenthal,01909
Frankenthal (Pfalz),67227
Frankenwinheim,97447
Frankfurt am Main,60306
Frankfurt am Main,60308
Frankfurt am Main,60310
Frankfurt am Main,60311
Frankfurt am Main,60313
Frankfurt am Main,60314
Frankfurt am Main,60316
Frankfurt am Main,60318
Frankfurt am Main,60320
Frankfurt am Main,60322
Frankfurt am Main,60323
Frankfurt am Main,60325
Frankfurt am Main,60326
Frankfurt am Main,60327
Frankfurt am Main,60329
Frankfurt am Main,60385
Frankfurt am Main,60386
Frankfurt am Main,60388
Frankfurt am Main,60389
Frankfurt am Main,60431
Frankfurt am Main,60433
Frankfurt am Main,60435
Frankfurt am Main,60437
Frankfurt am Main,60438
Frankfurt am Main,60439
Frankfurt am Main,60486
Frankfurt am Main,60487
Frankfurt am Main,60488
Frankfurt am Main,60489
Frankfurt am Main,60528
Frankfurt am Main,60529
Frankfurt am Main,60549
Frankfurt am Main,60594
Frankfurt am Main,60596
Frankfurt am Main,60598
Frankfurt am Main,60599
Frankfurt am Main,65929
Frankfurt am Main,65931
Frankfurt am Main,65933
Frankfurt am Main,65934
Frankfurt am Main,65936
Frankfurt (Oder),15230
Frankfurt (Oder),15232
Frankfurt (Oder),15234
Frankfurt (Oder),15236
Fränkisch-Crumbach,64407
Frankweiler,76833
Franzburg,18461
Franzenheim,54316
Frasdorf,83112
Frauenau,94258
Frauenberg,55776
Frauendorf,01945
Frauenneuharting,83553
Frauenprießnitz,07774
Frauenstein,09623
Fraunberg,85447
Fraureuth,08427
Frechen,50226
Freckenfeld,76872
Fredeburg,23909
Fredenbeck,21717
Freden (Leine),31084
Fredersdorf-Vogelsdorf,15370
Fredesdorf,23826
Freiamt,79348
Freiberg,09599
Freiberg am Neckar,71691
Freiburg (Elbe),21729
Freiburg im Breisgau,79098
Freiburg im Breisgau,79100
Freiburg im Breisgau,79102
Freiburg im Breisgau,79104
Freiburg im Breisgau,79106
Freiburg im Breisgau,79108
Freiburg im Breisgau,79110
Freiburg im Breisgau,79111
Freiburg im Breisgau,79112
Freiburg im Breisgau,79114
Freiburg im Breisgau,79115
Freiburg im Breisgau,79117
Freienbessingen,99713
Freienhagen,37318
Freienorla,07768
Freiensteinau,36399
Freienwill,24991
Freigericht,63579
Freihung,92271
Freilassing,83395
Frei-Laubersheim,55546
Freilingen,56244
Freimersheim,55234
Freimersheim (Pfalz),67482
Freinsheim,67098
Freinsheim,67251
Freirachdorf,56244
Freisbach,67361
Freisen,66629
Freising,85354
Freising,85356
Freistatt,27259
Freital,01705
Frellstedt,38373
Fremdingen,86742
Frensdorf,96158
Freren,49832
Fresenburg,49762
Fresendelf,25876
Frestedt,25727
Frettenheim,67596
Fretterode,37318
Freudenberg,57258
Freudenberg,97896
Freudenberg,92272
Freudenburg,54450
Freudenstadt,72250
Freudental,74392
Freyburg (Unstrut),06632
Freystadt,92342
Freyung,94078
Frickenhausen,72636
Frickenhausen a.Main,97252
Frickingen,88699
Fridingen an der Donau,78567
Fridolfing,83413
Friedberg,86316
Friedberg (Hessen),61169
Friedeburg,26446
Friedelshausen,98634
Friedelsheim,67159
Friedenfels,95688
Friedenweiler,79877
Friedewald,36289
Friedewald,57520
Friedland,15848
Friedland,37133
Friedland,17098
Friedrichroda,99894
Friedrichsdorf,61273
Friedrichsdorf,61381
Friedrichsgabekoog,25764
Friedrichsgraben,24799
Friedrichshafen,88045
Friedrichshafen,88046
Friedrichshafen,88048
Friedrichsholm,24799
Friedrichskoog,25718
Friedrichsruhe,19089
Friedrichstadt,25840
Friedrichsthal,66299
Friedrichswalde,16247
Friedrich-Wilhelm-Lübke-Koog,25924
Frielendorf,34621
Friemar,99869
Friesack,14662
Friesenhagen,51598
Friesenheim,77948
Friesenheim,55278
Friesenried,87654
Friesoythe,26169
Friolzheim,71292
Frittlingen,78665
Fritzlar,34560
Frohburg,04654
Fröhnd,79677
Frohnhofen,66903
Fröndenberg/Ruhr,58730
Fronhausen,35112
Fronhofen,55471
Fronreute,88273
Frontenhausen,84160
Frücht,56132
Fuchshofen,53533
Fuchsmühl,95689
Fuchsstadt,97727
Fuchstal,86925
Fuhlendorf,18356
Fuhlendorf,24649
Fuhlenhagen,21493
Fulda,36037
Fulda,36039
Fulda,36041
Fulda,36043
Fuldabrück,34277
Fuldatal,34127
Fuldatal,34233
Fünfseen,17213
Fünfstetten,86681
Fürfeld,55546
Fürstenau,49584
Fürstenberg,37699
Fürstenberg/Havel,16798
Fürsteneck,94142
Fürstenfeldbruck,82256
Fürstenstein,94538
Fürstenwalde/Spree,15517
Fürstenzell,94081
Furth,84095
Fürth,90762
Fürth,90763
Fürth,90765
Fürth,90766
Fürth,90768
Fürth,64658
Fürthen,57539
Furth im Wald,93437
Furtwangen im Schwarzwald,78120
Füssen,87629
Fußgönheim,67136
Gablenz - Jabłońc,02953
Gablingen,86456
Gabsheim,55288
Gachenbach,86565
Gackenbach,56412
Gadebusch,19205
Gädheim,97503
Gägelow,23968
Gaggenau,76571
Gaiberg,69251
Gaienhofen,78343
Gaildorf,74405
Gailingen am Hochrhein,78262
Gaimersheim,85080
Gaißach,83674
Galenbeck,17099
Galenberg,56651
Gallin,19258
Gallin-Kuppentin,19386
Gallmersgarten,91605
Galmsbüll,25899
Gamlen,56761
Gammelby,24340
Gammelin,19230
Gammelsdorf,85408
Gammelshausen,73108
Gammertingen,72501
Ganderkesee,27777
Gandesbergen,27324
Gangelt,52538
Gangkofen,84140
Gangloffsömmern,99634
Ganzlin,19395
Gappenach,56294
Garbsen,30823
Garbsen,30826
Garbsen,30827
Garching an der Alz,84518
Garching bei München,85748
Gardelegen,39638
Gardelegen,39646
Gardelegen,39649
Garding,25836
Garlstorf,21376
Garmisch-Partenkirchen,82467
Garmisch-Partenkirchen,82475
Garrel,49681
Gars am Inn,83536
Gars am Inn,83546
Gars am Inn,83555
Gars am Inn,83559
Garstedt,21441
Gartow,29471
Gärtringen,71116
Gartz (Oder),16307
Garz,17419
Garzau-Garzin,15345
Garz/Rügen,18574
Gattendorf,95185
Gau-Algesheim,55435
Gau-Bickelheim,55599
Gau-Bischofsheim,55296
Gauern,07580
Gauersheim,67294
Gäufelden,71126
Gaugrehweiler,67822
Gau-Heppenheim,55234
Gaukönigshofen,97253
Gau-Odernheim,55239
Gaushorn,25782
Gauting,82131
Gau-Weinheim,55578
Gebenbach,92274
Gebesee,99189
Gebhardshain,57580
Gebroth,55595
Gebsattel,91607
Gechingen,75391
Gedern,63688
Geeste,49744
Geesthacht,21502
Geestland,27607
Geestland,27624
Gefell,54552
Gefell,07926
Gefrees,95482
Gehlert,57627
Gehlsbach,19386
Gehlweiler,55490
Gehofen,06571
Gehrde,49596
Gehrden,30989
Gehrweiler,67724
Geichlingen,54675
Geiersthal,94244
Geilenkirchen,52511
Geilnau,56379
Geisa,36419
Geiselbach,63826
Geiselberg,67715
Geiselhöring,94333
Geiselwind,96160
Geisenfeld,85290
Geisenhain,07646
Geisenhausen,84144
Geisenheim,65366
Geisfeld,54413
Geisig,56357
Geisingen,78187
Geisleden,37308
Geislingen,72351
Geislingen an der Steige,73312
Geismar,37308
Geithain,04643
Gelbensande,18182
Gelchsheim,97255
Geldern,47608
Geldersheim,97505
Gelenau/Erzgebirge,09423
Gelenberg,53539
Gelnhausen,63571
Gelnhausen,63589
Gelsenkirchen,45879
Gelsenkirchen,45881
Gelsenkirchen,45883
Gelsenkirchen,45884
Gelsenkirchen,45886
Gelsenkirchen,45888
Gelsenkirchen,45889
Gelsenkirchen,45891
Gelsenkirchen,45892
Gelsenkirchen,45894
Gelsenkirchen,45896
Gelsenkirchen,45897
Gelsenkirchen,45899
Geltendorf,82269
Gelting,24395
Geltorf,24884
Gemmerich,56357
Gemmingen,75050
Gemmrigheim,74376
Gemünd,54673
Gemünden,35285
Gemünden,56459
Gemünden,55490
Gemünden am Main,97737
Gemünden (Felda),35329
Genderkingen,86682
Gengenbach,77723
Gensingen,55457
Genthin,39291
Genthin,39307
Gentingen,54675
Georgenberg,92697
Georgensgmünd,91166
Georgenthal,99887
Georgsdorf,49828
Georgsmarienhütte,49124
Gera,07545
Gera,07546
Gera,07548
Gera,07549
Gera,07551
Gera,07552
Gera,07554
Gera,07557
Gerabronn,74582
Gerach,96161
Gerach,55743
Geratal,98716
Geratal,99330
Geratal,99338
Geratskirchen,84552
Gerbach,67813
Gerbershausen,37318
Gerbrunn,97218
Gerbstedt,06347
Gerdau,29581
Gerdshagen,16928
Geretsried,82538
Gerhardsbrunn,66851
Gerhardsbrunn,66894
Gerhardshofen,91466
Gering,56751
Geringswalde,09326
Gerlingen,70839
Germaringen,87656
Germering,82110
Germersheim,76726
Gernrode,37339
Gernsbach,76593
Gernsheim,64579
Geroda,97779
Geroda,07819
Geroldsgrün,95179
Geroldshausen,97256
Gerolfingen,91726
Gerolsbach,85302
Gerolsheim,67229
Gerolstein,54568
Gerolzhofen,97447
Gersdorf,09355
Gersfeld,36129
Gersheim,66453
Gersten,49838
Gerstenberg,04617
Gerstengrund,36419
Gerstetten,89547
Gersthofen,86368
Gerstungen,99819
Gerstungen,99834
Gerswalde,17268
Gertewitz,07389
Gerzen,84175
Geschendorf,23815
Gescher,48712
Gesees,95494
Geseke,59590
Geslau,91608
Gessertshausen,86459
Gestratz,88167
Getelo,49843
Gettorf,24214
Gevelsberg,58285
Gevenich,56825
Gevensleben,38384
Geyer,09468
Giebelstadt,97232
Gieboldehausen,37434
Giekau,24321
Gieleroth,57610
Gielert,54424
Gielow,17139
Giengen an der Brenz,89522
Giengen an der Brenz,89537
Gierschnach,56294
Giershausen,57632
Giersleben,06449
Gierstädt,99100
Giesdorf,54614
Giesen,31180
Giesenhausen,57612
Giesensdorf,23909
Gießen,35390
Gießen,35392
Gießen,35394
Gießen,35396
Gießen,35398
Gifhorn,38518
Gifhorn,38559
Gilching,82205
Gillenbeuren,56825
Gillenfeld,54558
Gilserberg,34630
Gilten,29690
Gilzem,54298
Gimbsheim,67578
Gimbweiler,55767
Gindorf,54657
Gingen an der Fils,73333
Gingst,18569
Ginsheim-Gustavsburg,65462
Ginsweiler,67742
Gipperath,54533
Girkenroth,56459
Girod,56412
Gladbach,54518
Gladbeck,45964
Gladbeck,45966
Gladbeck,45968
Gladenbach,35075
Glanbrücken,66887
Glandorf,49219
Glan-Münchweiler,66907
Glasau,23719
Glasehausen,37308
Glasewitz,18276
Glashütte,01768
Glashütten,61479
Glashütten,95496
Glasin,23992
Glasow,17322
Glattbach,63864
Glatten,72293
Glaubitz,01612
Glauburg,63695
Glauchau,08371
Glees,56653
Gleichen,37130
Gleina,06632
Gleiritsch,92723
Gleißenberg,93477
Gleisweiler,76835
Gleiszellen-Gleishorbach,76889
Glewitz,18513
Glienicke/Nordbahn,16548
Glinde,21509
Glonn,85625
Glött,89353
Glottertal,79286
Glowe,18551
Glücksburg,24960
Glückstadt,25348
Glüsing,25779
Gmund,83703
Gnarrenburg,27442
Gneus,07646
Gneven,19065
Gnevkow,17089
Gnewitz,18195
Gnoien,17179
Gnotzheim,91728
Gnutz,24622
Goch,47574
Gochsheim,97469
Göcklingen,76831
Göda - Hodźij,02633
Goddert,56244
Godendorf,17237
Gödenroth,56290
Gödenstorf,21376
Goethestadt Bad Lauchstädt,06246
Göggingen,73571
Göhl,23758
Göhlen,19288
Göhrde,29473
Göhren,18586
Göhren,04603
Göhren-Lebbin,17213
Gohrisch,01824
Gokels,25557
Golchen,17089
Goldbach,63773
Goldbeck,39596
Goldberg,19399
Goldebek,25862
Goldelund,25862
Göldenitz,23919
Goldenstedt,49424
Goldisthal,98746
Goldkronach,95497
Gölenkamp,49843
Gollenberg,55767
Gollenberg,14728
Göllheim,67307
Gollhofen,97258
Göllnitz,04626
Golmbach,37640
Golmsdorf,07751
Golßen,15938
Golzow,14778
Golzow,15328
Gomadingen,72532
Gomaringen,72810
Gommern,39175
Gommern,39245
Gommern,39264
Gommern,39279
Gommern,39291
Gommersheim,67377
Gonbach,67724
Gondelsheim,75053
Gondenbrett,54595
Gondershausen,56283
Gondorf,54647
Gönnebek,24610
Gönnersdorf,53498
Gönnersdorf,54584
Gönnheim,67161
Goosefeld,24340
Göpfersdorf,04618
Göppingen,73033
Göppingen,73035
Göppingen,73037
Göppingen,73116
Gorden-Staupitz,03238
Görgeshausen,56412
Görisried,87657
Göritz,17291
Görkwitz,07907
Gorleben,29475
Görlitz,02826
Görlitz,02827
Görlitz,02828
Gorlosen,19294
Görmin,17121
Gornau/Erzgebirge,09405
Gornau/Erzgebirge,09437
Gornau/Erzgebirge,09573
Gornhausen,54472
Gornsdorf,09390
Görsbach,99765
Görwihl,79733
Gorxheimertal,69517
Görzke,14828
Göschitz,07907
Goseck,06667
Gösen,07607
Gosen-Neu Zittau,15537
Gösenroth,55624
Gosheim,78559
Goslar,38640
Goslar,38642
Goslar,38644
Goslar,38690
Gössenheim,97780
Gossersweiler-Stein,76857
Gössitz,07389
Gößnitz,04639
Gößweinstein,91327
Gotha,99867
Gottenheim,79288
Gottesgabe,19209
Gotteszell,94239
Gottfrieding,84177
Gotthun,17207
Göttin,21514
Göttingen,37073
Göttingen,37075
Göttingen,37077
Göttingen,37079
Göttingen,37081
Göttingen,37083
Göttingen,37085
Gottmadingen,78244
Graach an der Mosel,54470
Graal-Müritz,18181
Grabau,23845
Grabau,21493
Graben,86836
Gräben,14793
Graben-Neudorf,76676
Grabenstätt,83355
Grabenstetten,72582
Grabfeld,98617
Grabfeld,98631
Grabow,19300
Grabowhöfe,17194
Gräfelfing,82166
Grafenau,71120
Grafenau,94481
Grafenberg,72661
Gräfenberg,91322
Gräfendhron,54426
Gräfendorf,97782
Grafengehaig,95356
Gräfenhainichen,06772
Gräfenhainichen,06773
Grafenhausen,79865
Grafenrheinfeld,97506
Gräfenthal,98743
Grafenwiesen,93479
Grafenwöhr,92655
Grafhorst,38462
Grafing,85567
Grafling,94539
Grafrath,82284
Grafschaft,53501
Grainau,82491
Grainet,94143
Graitschen bei Bürgel,07616
Grambek,23883
Grambin,17375
Grambow,17322
Grambow,19071
Grambow,19073
Grammendorf,18513
Grammentin,17153
Grammow,18195
Gramzow,17291
Grande,22946
Gransdorf,54533
Gransebieth,18513
Gransee,16775
Granzin,19386
Grapzow,17089
Grasberg,28879
Grasbrunn,85630
Grasellenbach,64689
Grasleben,38368
Grassau,83224
Grattersdorf,94541
Grauel,24594
Grävenwiesbach,61279
Grebenau,36323
Grebenhain,36355
Grebenstein,34393
Grebin,24329
Grebs-Niendorf,19294
Greding,91171
Grefrath,47929
Greifenberg,86926
Greifenstein,35753
Greifswald,17489
Greifswald,17491
Greifswald,17493
Greiling,83677
Greimerath,54314
Greimerath,54533
Greimersburg,56814
Greiz,07973
Gremersdorf,23758
Gremersdorf-Buchholz,18461
Gremsdorf,91350
Grenderich,56858
Grenzach-Wyhlen,79639
Gresse,19258
Grethem,29690
Grettstadt,97508
Greußen,99718
Greußenheim,97259
Greven,48268
Greven,19258
Grevenbroich,41515
Grevenbroich,41516
Grevenbroich,41517
Grevenkop,25361
Grevenkrug,24241
Grevesmühlen,23936
Gribbohm,25596
Gribow,17506
Griebelschied,55608
Grieben,23936
Griefstedt,99638
Gries,66903
Griesheim,64347
Griesingen,89608
Griesstätt,83556
Grimburg,54413
Grimma,04668
Grimmelshausen,98660
Grimmen,18507
Grinau,23847
Grischow,17089
Grobengereuth,07389
Gröbenzell,82194
Gröde,25869
Gröden,04932
Grödersby,24376
Grödersby,24399
Gröditz,01609
Groitzsch,04539
Grolsheim,55459
Grömbach,72294
Grömbach,72297
Grömitz,23743
Gronau,48599
Gronau,31028
Gröningen,39397
Grönwohld,22956
Großaitingen,86845
Großalmerode,37247
Großbardorf,97633
Großbarkau,24245
Großbartloff,37359
Großbeeren,14979
Groß Berßen,49777
Großbettlingen,72663
Groß-Bieberau,64395
Groß-Bieberau,64401
Großbockedra,07646
Groß Boden,23847
Großbottwar,71723
Großbreitenbach,98701
Groß Buchwald,24582
Großbundenbach,66501
Großderschau,16845
Groß Disnack,23911
Groß Düben - Dźěwin,02953
Groß Düben - Dźěwin,02959
Großdubrau - Wulka Dubrawa,02694
Großefehn,26629
Großeibstadt,97633
Grosselfingen,72415
Großenaspe,24623
Großenbrode,23775
Großenehrich,99718
Großenhain,01558
Großenhain,01561
Großenkneten,26197
Großenlüder,36137
Großenrade,25712
Großensee,22946
Großenseebach,91091
Großenstein,07580
Großenwiehe,24969
Großenwörden,21712
Großerlach,71577
Großeutersdorf,07768
Großfahner,99100
Großfischlingen,67483
Groß-Gerau,64521
Groß Godems,19372
Groß Grönau,23627
Großhabersdorf,90613
Großhansdorf,22927
Großharrie,24625
Großharthau,01909
Großhartmannsdorf,09618
Großheide,26532
Großheirath,96269
Großheringen,99518
Großheubach,63920
Großholbach,56412
Groß Ippener,27243
Großkampenberg,54619
Großkarlbach,67229
Großkarolinenfeld,83109
Groß Kelle,17207
Groß Kiesow,17495
Großkmehlen,01990
Groß Kordshagen,18442
Groß Köris,15746
Groß Krams,19230
Groß Kreutz (Havel),14550
Großkrotzenburg,63538
Groß Kummerfeld,24626
Groß Laasch,19288
Großlangenfeld,54608
Großlangheim,97320
Groß Lindow,15295
Großlittgen,54534
Großlöbichau,07751
Großlohra,99759
Groß Luckow,17337
Großmaischeid,56276
Groß Meckelsen,27419
Großmehring,85098
Groß Miltzow,17349
Groß Mohrdorf,18445
Großmölsen,99198
Groß Molzahn,19217
Großnaundorf,01936
Groß Nemerow,17094
Großneuhausen,99625
Großniedesheim,67259
Groß Niendorf,23816
Groß Nordende,25436
Groß Oesingen,29393
Groß Offenseth-Aspern,25355
Großolbersdorf,09432
Großostheim,63762
Groß Pampau,21493
Groß Pankow (Prignitz),16928
Groß Plasten,17192
Groß Polzin,17390
Großpösna,04463
Großpostwitz/O.L. - Budestecy,02692
Großpürschütz,07751
Groß Quenstedt,38822
Großräschen,01983
Groß Rheide,24872
Großrinderfeld,97950
Groß Roge,17166
Groß-Rohrheim,68649
Großröhrsdorf,01900
Groß Rönnau,23795
Großrosseln,66352
Großrückerswalde,09518
Großrudestedt,99195
Groß Sarau,23627
Groß Schacksdorf-Simmersdorf,03149
Groß Schenkenberg,23860
Großschirma,09603
Großschönau,02779
Großschönau,02799
Großschwabhausen,99441
Großschweidnitz,02708
Groß Schwiesow,18276
Großseifen,56472
Großsolt,24991
Großsteinhausen,66484
Groß Stieten,23972
Groß Teetzleben,17091
Großthiemig,04932
Groß Twülpstedt,38464
Groß-Umstadt,64823
Großvargula,99958
Groß Vollstedt,24802
Großwallstadt,63868
Großweil,82439
Großweitzschen,04720
Groß Wittensee,24361
Groß Wokern,17166
Großwoltersdorf,16775
Groß Wüstenfelde,17168
Groß-Zimmern,64846
Grothusenkoog,25836
Grove,21493
Groven,25774
Grub,98530
Grub a.Forst,96271
Grube,23749
Gruibingen,73344
Grumbach,67745
Grünbach,08223
Grünberg,35305
Gründau,63584
Grundhof,24977
Grundsheim,89613
Grünebach,57520
Grünenbach,88167
Grünendeich,21720
Grünewald,01945
Grünhain-Beierfeld,08344
Grünhainichen,09579
Grünheide (Mark),15537
Grünkraut,88287
Grünow,17291
Grünow,17237
Grunow-Dammendorf,15299
Grünsfeld,97947
Grünstadt,67269
Grünwald,82031
Grünwald,82064
Gschwend,74417
Gstadt am Chiemsee,83257
Guben,03172
Güby,24357
Guckheim,56459
Gückingen,65558
Gudendorf,25693
Gudensberg,34281
Guderhandviertel,21720
Gudow,23899
Guggenhausen,88379
Güglingen,74363
Guhrow,03096
Guldental,55452
Gülitz-Reetz,19348
Güllesheim,56593
Gültz,17089
Gülzow,17153
Gülzow,21483
Gülzow-Prüzen,18276
Gumbsheim,55597
Gummersbach,51643
Gummersbach,51645
Gummersbach,51647
Gumperda,07768
Gumtow,16866
Gundelfingen,79194
Gundelfingen a.d.Donau,89423
Gundelsheim,96163
Gundelsheim,74831
Gunderath,56767
Gundersheim,67598
Gundersweiler,67724
Gundheim,67599
Gundremmingen,89355
Gunningen,78594
Günstedt,99631
Guntersblum,67583
Güntersleben,97261
Günzach,87634
Günzburg,89312
Gunzenhausen,91710
Gusborn,29476
Gusenburg,54413
Gusow-Platkow,15306
Güsten,39439
Güster,21514
Gusterath,54317
Gustow,18574
Güstrow,18273
Gutach im Breisgau,79261
Gutach (Schwarzwaldbahn),77793
Guteborn,01945
Gutenacker,56370
Gütenbach,78148
Gutenberg,55595
Gutenborn,06712
Guteneck,92543
Gutenstetten,91468
Gutenzell-Hürbel,88484
Gütersloh,33330
Gütersloh,33332
Gütersloh,33333
Gütersloh,33334
Gütersloh,33335
Gutow,18276
Guttenberg,95358
Gutweiler,54317
Gützkow,17506
Guxhagen,34302
Gyhum,27404
Haag,95473
Haag an der Amper,85410
Haag in Oberbayern,83527
Haale,24819
Haan,42781
Haar,85540
Haarbach,94501
Haarbach,94542
Habach,82392
Habichtswald,34317
Habscheid,54597
Haby,24361
Hachenburg,57627
Hackenheim,55546
Hadamar,65589
Hademstorf,29693
Hadenfeld,25560
Hafenlohr,97840
Hage,26524
Häg-Ehrsberg,79685
Hagelstadt,93095
Hagen,24576
Hagen,58089
Hagen,58091
Hagen,58093
Hagen,58095
Hagen,58097
Hagen,58099
Hagen,58119
Hagen,58135
Hagen am Teutoburger Wald,49170
Hagenbach,76767
Hagenbüchach,91469
Hagenburg,31558
Hagen im Bremischen,27628
Hagenow,19230
Hagermarsch,26524
Hagnau am Bodensee,88709
Hahausen,38729
Hahn,56850
Hahn am See,56244
Hahnbach,92256
Hahn bei Marienberg,56472
Hahnenbach,55606
Hahnheim,55278
Hähnichen,02923
Hahnstätten,65623
Hahnweiler,55776
Haibach,63808
Haibach,94353
Haidmühle,94145
Haiger,35708
Haigerloch,72401
Haimhausen,85778
Haiming,84533
Haina,35114
Hainau,56357
Hainburg,63512
Hainewalde,02779
Hainfeld,76835
Hainichen,09661
Hainichen,07778
Hainsfarth,86744
Hainspitz,07607
Haiterbach,72221
Halbe,15757
Halbemond,26524
Halberstadt,38820
Halberstadt,38822
Halberstadt,38895
Halblech,87642
Halbs,56457
Haldensleben,39340
Haldensleben,39343
Haldensleben,39345
Haldenwang,87490
Haldenwang,89356
Halenbeck-Rohlsdorf,16945
Halfing,83128
Hallbergmoos,85399
Halle,37620
Halle,49843
Hallenberg,59969
Hallerndorf,91352
Halle (Saale),06108
Halle (Saale),06110
Halle (Saale),06112
Halle (Saale),06114
Halle (Saale),06116
Halle (Saale),06118
Halle (Saale),06120
Halle (Saale),06122
Halle (Saale),06124
Halle (Saale),06126
Halle (Saale),06128
Halle (Saale),06130
Halle (Saale),06132
Halle (Westf.),33790
Hallgarten,67826
Hallig Hooge,25859
Hallschlag,54611
Hallstadt,96103
Hallungen,99826
Halsbach,84553
Halsbrücke,09633
Halsdorf,54646
Halsenbach,56283
Halstenbek,25469
Haltern am See,45721
Halver,58553
Halvesbostel,21646
Hambach,65582
Hamberge,23619
Hambergen,27729
Hambrücken,76707
Hambuch,56761
Hambühren,29313
Hamburg,20095
Hamburg,20097
Hamburg,20099
Hamburg,20144
Hamburg,20146
Hamburg,20148
Hamburg,20149
Hamburg,20249
Hamburg,20251
Hamburg,20253
Hamburg,20255
Hamburg,20257
Hamburg,20259
